企业名称,工作地点,岗位名称,岗位工资,平均工资,相关专业,学历要求,待遇
中国人寿财产保险股份有限公司郴州市中心支公司,郴州市,理算岗,4K-11K/月,7500.0,经济学类，经济学，经济统计学，国民经济管理，资源与环境经济学，商务经济学，能源经济，财政学类，财政学，税收学，金融学类，金融学，金融工程，保险学，投资学，金融数学，信用管理，经济与金融，经济与贸易类，国际经济与贸易，贸易经济，数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 交通补助 餐补 房补 员工旅游 健康体检
中国人寿财产保险股份有限公司郴州市中心支公司,郴州市,出单岗,4K-9K/月,6500.0,经济学类，经济学，经济统计学，国民经济管理，资源与环境经济学，商务经济学，能源经济，财政学类，财政学，税收学，金融学类，金融学，金融工程，保险学，投资学，金融数学，信用管理，经济与金融，经济与贸易类，国际经济与贸易，贸易经济，数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 交通补助 餐补 房补 员工旅游 健康体检
嘉兴石化有限公司,嘉兴市,PTA工艺员,4.5K-15K/月,9750.0,应用化学，化学工程与工艺，化学类，化学，化学工程与工业生物工程,大专及以上,员工培训 岗位晋升 带薪年假15天  餐补 房补 免费班车 健康体检等
苏州晶云药物科技有限公司,苏州市,苏州晶云药物2018年校园招聘,5K-8K/月,6500.0,化学，化学生物学，化学类，应用化学,本科及以上,
斯芬克司药物研发（天津）股份有限公司,盘锦市,分析研究员,4K-6K/月,5000.0,化学工程与工业生物工程，生物医学工程，生物工程类，生物制药，生物工程，化学工程与工艺，化工与制药类,大专及以上,绩效奖金 岗前培训 岗位晋升 扁平管理 年度旅游 带薪年假 免费班车 员工旅游 包吃包住 健康体检
斯芬克司药物研发（天津）股份有限公司,盘锦市,工艺工程师,4K-6K/月,5000.0,化学工程与工艺，化工与制药类，制药工程，生物医学工程类，生物医学工程，生物工程类，生物制药,大专及以上,带薪年假 包吃包住 健康体检 免费班车 年度旅游 绩效奖金 岗前培训 岗位晋升 扁平管理
湖南和畅食品科技有限公司,湘潭市,品控员,3K-4K/月,3500.0,食品质量与安全，化学生物学,本科及以上,年底双薪 员工旅游 交通补助 包吃包住 绩效奖金 岗位晋升
佛山市南海区中科半导体科技促进中心,佛山市,项目专员,4K-6K/月,5000.0,汉语言文学，物理学，机械类，电子信息类，生物工程,大专及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 员工旅游
茂名市人力资源和社会保障局,茂名市,茂名市高新技术产业开发区事业单位编制人员,5K-7K/月,6000.0,德语，化学工程与工艺，化学工程与工业生物工程,硕士及以上,全额财政拨款的事业单位编制人员
北京博云华康基因科技有限公司,北京市,信息分析工程师,6K-12K/月,9000.0,软件工程，计算机类，计算机科学与技术，生物医学工程类，生物医学工程,本科及以上,绩效奖金 弹性工作 带薪年假 员工旅游 年度旅游 节日礼物
广州王老吉大健康产业有限公司,全国,驻点生产管理员,5K-6K/月,5500.0,生物技术，制药工程，化学工程与工业生物工程，食品科学与工程类，药学,本科及以上,年终奖、利润奖、业绩奖、餐补、提供住宿、话费补贴、年假
湖南加农正和生物技术有限公司,全国,大客户开发,6K-10K/月,8000.0,制药工程，生物工程，计算机科学与技术，微生物与生化药学，市场营销,本科及以上,绩效奖金 岗前培训 年度旅游 岗位晋升 员工旅游 交通补助 包吃包住 弹性工作
上海德联化工有限公司,上海市,质检员,4K-5.5K/月,4750.0,化学类，应用化学，化学，化学生物学，分子科学与工程,大专及以上,年底双薪 绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 交通补助 免费班车 员工旅游 包吃包住
河南省安装集团有限责任公司,洛阳市,工程师助理（生物工程）,5.7K-7K/月,6350.0,生物工程，食品科学，食品科学与工程,本科及以上,绩效奖金 岗前培训 股票期权 带薪年假 餐补 健康体检
上海微谱化工技术服务有限公司广州分公司,广州市,销售工程师,6K-8K/月,7000.0,化学，应用化学，生物技术，化学工程与工艺，制药工程,大专及以上,六险一金  绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 员工旅游 健康体检
深圳市奔强电路有限公司,深圳市,技术销售工程师,4.5K-20K/月,12250.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学，应,本科及以上,绩效奖金 岗前培训 扁平管理 年度旅游 岗位晋升 股票期权 弹性工作 带薪年假 交通补助 员工旅游
上海起航企业管理咨询股份有限公司,上海市 深圳市,管理咨询顾问,8K-18K/月,13000.0,经济学类，经济学，经济统计学，国民经济管理，资源与环境经济学，商务经济学，能源经济，财政学类，财政学，税收学，金融学类，金融学，金融工程，保险学，投资学，金融数学，信用管理，经济与金融，经济与贸易类，国际经济与贸易，贸易经济，数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术,硕士及以上,银行管理咨询
广州酒家集团利口福食品有限公司,广州市,食品检测储备,2.5K-4.5K/月,3500.0,食品质量与安全，食品科学与工程，生物工程，化学,大专及以上,包吃包住
湖南中烟工业有限责任公司,长沙市,博士后,10K-15K/月,12500.0,化学工程与工艺，化学，应用化学，物理学，生物科学,博士及以上,
深圳柏斯生物科技有限公司,深圳市,国际商务助理,4K-5K/月,4500.0,生物医学工程,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 弹性工作 带薪年假
深圳柏斯生物科技有限公司,深圳市,研发助理,3.5K-5.5K/月,4500.0,生物医学工程,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 岗位晋升 弹性工作 带薪年假 包吃包住
深圳柏斯生物科技有限公司,深圳市,硬件测试工程师,4K-5K/月,4500.0,生物医学工程，电子信息工程，电气工程及其自动化，自动化,本科及以上,年底双薪 绩效奖金 节日礼物 弹性工作 带薪年假 健康体检 包吃包住
深圳柏斯生物科技有限公司,深圳市,机械工程师,4K-5K/月,4500.0,机械设计制造及其自动化，生物医学工程,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 弹性工作 带薪年假 包吃包住
西安华线石油科技有限公司,西安市,油藏工程师/油气藏工程师,3K-8K/月,5500.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学,硕士及以上,绩效奖金 带薪年假  节日礼物  项目提成
